DocumentName,ReportDT,JurisdictionName,OccurDt,FraudEntity,State_County,PayerName,FraudAmt,SettlementAmt,JailTime,FraudType,FraudTypeAll,CaseStatus,SchemeSummary
alabama-doctor-sentenced-to-over-one-year-in-prison-for-2-7-million-telemedicine-health-care-fraud-scheme_5640247d9adc.pdf,2026-03-23,"U.S. Attorney's Office, District of Massachusetts",2018-12 to 2021-03,Tommie Robinson (Alabama-based doctor),Alabama; Massachusetts - Suffolk County (Boston),Medicare,2700000.0,2784733.0,16,Falsify certificate,Falsify certificate; FakeEncounter,sentenced,"Robinson signed pre-populated doctors' orders generated from telemarketing calls to Medicare beneficiaries, without contacting them or establishing a provider-patient relationship; DME suppliers and genetic testing laboratories then used those signed orders to submit over $2.7 million in medically unnecessary claims to Medicare."
american-health-companies-dba-american-health-partners-agrees-to-pay-over-two-million-dollars-to-resolve-false_bf7bce23e890.pdf,2026-03-30,"U.S. Attorney's Office, Middle District of Tennessee",2019 to 2024,"American Health Companies, LLC, dba American Health Partners (nursing home owner/operator); Lewis County Nursing and Rehabilitation, LLC, dba AHC Lewis County (131-bed nursing facility subsidiary)",Tennessee - Lewis County (Hohenwald),Medicare; Medicaid (TennCare),,2090309.0,,other,other; FakeEncounter,civil settlement,"AHC Lewis County allegedly billed Medicare and TennCare for nursing home services that were grossly substandard or worthless - failing to provide proper wound care, infection control, fall protection, and prevention of weight loss and loss of range of motion, and overprescribing antipsychotics - while collecting full payment; AHP agreed to pay $2,090,309 ($1,196,074 federal, $894,235 to Tennessee)."
amerisourcebergen-subsidiary-agrees-to-pay-1-million-for-allegedly-paying-kickbacks-to-health-care-providers-a_e608cd6a424d.pdf,2026-03-06,"U.S. Attorney's Office, District of Massachusetts",2012-01 to 2022-09,"ASD Specialty Healthcare, LLC d/b/a Oncology Supply Company (specialty pharmaceutical distributor, subsidiary of Cencora, Inc., f/k/a AmerisourceBergen Corporation); International Oncology Network (ION) (Cencora subsidiary)",Massachusetts - Suffolk County (Boston),Medicare; Medicaid,,1000000.0,,kickback_Bribery For Referral,kickback_Bribery For Referral,civil settlement,"ASD/Oncology Supply and affiliate ION provided health care providers and medical practice executives with meals and alcohol at high-end restaurants, golf rounds, and outings at bars and nightclubs (sometimes covering spouses' expenses), at Large Practice Program conferences and outside them, to induce purchases of specialty pharmaceutical products; the government alleged this caused physicians to submit kickback-tainted claims to Medicare and Medicaid. Resolved for $1 million under the False Claims Act following a qui tam suit, with the relator receiving 17.5%."
amtrak-employees-admit-participating-in-11-million-health-care-fraud-scheme_1fd11489df55.pdf,2026-01-22,"U.S. Attorney's Office, District of New Jersey",2019-01 to 2022-06,Timothy Bogen (Amtrak employee); Quinton Johnson (Amtrak employee); Gregory Richardson (Amtrak employee); Dion Jacob (Amtrak employee); Kevin Frink (Amtrak employee); Michael Toal (Amtrak employee); David McBrien (Amtrak employee); Damany Walker (Amtrak employee); David Lonergan (Amtrak employee); Rodolfo Rivera (Amtrak employee); Punson Figueroa (acupuncturist); Michael DeNicola (podiatrist),New Jersey,Amtrak employee health care plan,11000000.0,,34,kickback_Bribery For Referral,kickback_Bribery For Referral; Phantom Claims; FakeEncounter,pleaded guilty,"Ten Amtrak employees accepted thousands of dollars in cash kickbacks from health care providers (including an acupuncturist and a podiatrist) in exchange for allowing their Amtrak employee health insurance plan to be billed for services that were never rendered and were not medically necessary; the plan paid over $11 million in fraudulent claims tied to the providers. Figures span multiple defendants; four employees received two years' probation, and provider Punson Figueroa was sentenced to 34 months in prison, with other sentencings pending."
anchorage-doctor-sentenced-to-prison-for-multi-million-dollar-health-care-fraud-and-tax-evasion_99681d2665d6.pdf,2026-03-18,"U.S. Department of Justice, Criminal Division and U.S. Attorney's Office, District of Alaska",2009 to 2024,"Dr. Claribel Tan (rheumatologist, clinic owner); Daniel Tan (office manager, husband)",Alaska - Anchorage,More than 10 health insurance plans (not individually named),12500000.0,18500000.0,78,Phantom Claims,Phantom Claims; Upcoding; Tax evasion,sentenced,"Over 15 years the Tans billed insurance plans for 4,829 units of injectable rheumatology medications while purchasing only 369 units, secretly injecting patients with free samples, expired drugs or substitute medications, and also billed for office visits of exaggerated length and services never provided; they then overstated clinic expenses on 2014, 2015 and 2017 tax returns and failed to file returns for 2018-2021, costing the IRS over $4.2 million. Claribel Tan received 78 months; Daniel Tan received 3 years' probation with 2 years home confinement, and figures (including $10.4M forfeited, $6.3M paid toward restitution and $1.8M FCA civil settlement) span both defendants."
anchorage-doctor-sentenced-to-prison-in-multi-million-dollar-health-care-tax-fraud-schemes_259e75dc37e0.pdf,2026-03-17,"U.S. Attorney's Office, District of Alaska",2009 to 2024,"Dr. Claribel Tan (rheumatologist, clinic owner); Daniel Tan (husband, clinic office/management worker)",Alaska - Anchorage,TRICARE; more than 10 other health insurance plans,12500000.0,18500000.0,78,Phantom Claims,Phantom Claims; Upcoding; Tax evasion,sentenced,"At their Anchorage rheumatology clinic the Tans billed TRICARE and more than 10 insurance plans for 4,829 units of injectable biologic medications while purchasing only 369 units, secretly underdosing patients, substituting free samples, expired drugs, or medication bought for other patients; they also billed for longer office visits and services never provided, and overstated clinic drug expenses on 2014, 2015 and 2017 tax returns while failing to file 2018-2021 returns, causing a $4.2 million IRS loss. Figures cover both defendants: Dr. Tan received 78 months in prison, Daniel Tan three years' probation, and together they forfeited $10.4 million in seized proceeds, paid $6.3 million toward restitution and $1.8 million to settle False Claims Act civil claims."
another-member-of-notorious-philadelphia-10th-and-o-crew-sentenced-to-60-months-for-opioid-drug-conspiracy_628da07b8d8d.pdf,2026-05-12,"U.S. Department of Justice, Criminal Division (National Fraud Enforcement Division/Fraud Section); U.S. District Court for the District of New Jersey",2019-07 to 2024-07,Michael Emma (member of the '10th and O Crew'); Michael Procopio (crew leader); Frank Procopio (crew leader),Pennsylvania - Philadelphia County (South Philadelphia),,,,72,Prescription drug diversion,Prescription drug diversion,sentenced,"Emma obtained prescription oxycodone pills from area doctors' offices and, with co-conspirators of South Philadelphia's '10th and O Crew,' sold them in shifts out of a 24-hour restaurant; law enforcement made a controlled buy from a co-conspirator who was then observed counting the proceeds with Emma. Emma received 60 months; co-conspirator leaders Michael and Frank Procopio received 72 months and 57 months respectively."
appleton-clinic-to-pay-over-380-000-to-resolve-false-claims-act-allegations-relating-to-the-marketing-and-use-_6f2edf7cafc1.pdf,2026-04-17,"U.S. Attorney's Office, Eastern District of Wisconsin",,"Apple Medical Clinic; Dr. Michael Johnson (principal, and national distributor of the RST Sanexas device)",Wisconsin - Outagamie County (Appleton),Medicare,,382362.0,,FakeEncounter,FakeEncounter; other,civil settlement,"Clinic and its physician billed Medicare for electrical muscle stimulation using the RST Sanexas neoGEN device combined with vitamin blend injections and ancillary services such as epidermal nerve fiber density testing that were not medically reasonable or necessary and excluded from Medicare coverage under NCD 160.7.1; the doctor also marketed the device for indications outside its FDA clearance and advertised the treatments as Medicare-billable. Settlement of $382,362.95 (based on ability to pay) comprises a $175,000 payment plus CMS retention of $207,362.95."
aprn-charged-with-defrauding-connecticuts-medicaid-program_774a21dd15ec.pdf,2026-05-22,"U.S. Attorney's Office, District of Connecticut",2022-01 to 2025-08,"Marisol Rodriguez, also known as Marisol Colon (Advanced Practice Registered Nurse)",Connecticut - Hartford County (Newington),Medicaid (Connecticut Medical Assistance Program / HUSKY),1350000.0,,,Phantom Claims,Phantom Claims; FakeEncounter,charged,"An APRN allegedly submitted more than 15,000 Connecticut Medicaid claims totaling over $1.35 million for medication management services never provided - including for patients who had stopped seeing her months or years earlier, patients who were hospitalized, incarcerated or deceased, and for periods when she was working full-time elsewhere or collecting unemployment; her billings ranked first among a peer group of 116 APRNs."
arizona-cardiology-group-to-pay-4-75m-to-resolve-allegations-of-unnecessary-vein-ablations_cc5a227918f4.pdf,2026-03-12,"U.S. Department of Justice, Civil Division, Commercial Litigation Branch, Fraud Section; U.S. Attorney's Office, District of Arizona",2017-01 to 2022-04,"Tri-City Cardiology, P.C. (physician group); Dr. Jaskamal Kahlon (physician); Dr. Joshua D. Cohen (physician); Dr. M. Joshua Berkowitz (physician)",Arizona - Phoenix metro area (Maricopa County),Medicare,,4750000.0,,FakeEncounter,FakeEncounter; Falsify certificate,civil settlement,"The cardiology group and three physicians allegedly billed federal health programs for medically unnecessary ablations of perforator veins that did not meet accepted treatment criteria, and knowingly mismeasured or misdocumented reflux duration, vein diameter, patient symptoms and conservative therapy in medical records to make the procedures appear justified; resolved for $4.75 million across all defendants."
arizona-surgical-hospital-agrees-to-pay-5-6m-to-resolve-alleged-false-claims-act-violations_d0a66d8b239f.pdf,2026-02-24,"U.S. Department of Justice, Civil Division, Commercial Litigation Branch, Fraud Section",2011 to 2018,Southwest Orthopedic and Spine Hospital LLC d/b/a OASIS Hospital (surgical hospital); United Surgical Partners International Inc. (USPI); Dignity/USP Phoenix Surgery Centers LLC,Arizona - Maricopa County (Phoenix),Medicare,,5600000.0,,kickback_Bribery For Referral,kickback_Bribery For Referral,civil settlement,"OASIS Hospital allegedly made improper financial contributions - in the form of interest payments on convertible bonds issued to Southwest Orthopedic and Spine Hospital Physicians Group - to a physician group that referred patients to the hospital, and then billed federal health care programs for the referred services in violation of the Anti-Kickback Statute and Stark Law. USPI disclosed the arrangements after a 2019 internal compliance review; the $5.6 million settlement covers all three entities."
arkansas-pathology-laboratory-and-its-owners-pay-30m-to-settle-allegations-of-kickbacks-and-unnecessary-medica_07614d6737be.pdf,2026-06-17,"U.S. Department of Justice, Civil Division, and U.S. Attorney's Office, Eastern District of Arkansas (U.S. District Court for the Eastern District of Arkansas); U.S. Attorney's Office, Western District of Pennsylvania",2015-01 to 2022-07,Advanced Pathology Solutions PLLC (formerly Advanced Pathology Solutions LLC) (anatomic pathology laboratory); APS MSO LLC (management services organization); Kevin Hannah (owner/CEO); Donell Burkett (current or former owner); Daniel Hunter Pledger (current or former owner),Arkansas - North Little Rock (Pulaski County),Medicare; Medicaid,,30000000.0,,kickback_Bribery For Referral,kickback_Bribery For Referral; FakeEncounter,civil settlement,"APS set up and managed 'lean labs' inside gastroenterology practices nationwide, letting the practices bill for preparing and staining biopsy slides in exchange for exclusively referring slides to APS's North Little Rock lab for pathologist interpretation - alleged kickbacks under the AKS/FCA; APS also directed lean lab staff to automatically order 'special stains' before a pathologist reviewed the routine H&E stain, plus additional 'confirmatory' immunohistochemical tests, generating medically unnecessary claims to Medicare and Medicaid. The settlement also resolves allegations that APS and CEO Kevin Hannah paid Richard Sorgnard 4% volume-based commissions (Nov. 2018-Nov. 2020) to induce referrals for epidermal nerve fiber density testing. The $30 million is a total across APS entities and the three owners."
arkansas-woman-indicted-for-identity-theft-and-impersonating-a-registered-nurse-in-tennessee-as-part-of-the-na_13590c0f79ec.pdf,2026-06-23,"U.S. Attorney's Office, Western District of Tennessee",2020-09 to 2023-10,Heather May Wilbanks Greene (unlicensed individual posing as a registered nurse),"Tennessee; Arkansas (defendant of Lepanto, Arkansas)",,200000.0,,,Falsify certificate,Falsify certificate; FakeEncounter; other,charged,"Greene allegedly used the stolen license numbers of two licensed Tennessee registered nurses and submitted false resumes misrepresenting her education, experience and licensure to obtain nursing jobs at more than 30 health care facilities, including nursing homes and correctional institutions, despite never attending nursing school or passing the NCLEX-RN; she performed licensed-nurse duties such as administering medications and evaluating patients and collected $200,000 in wages to which she was not entitled."
armenian-man-extradited-to-u-s-faces-charges-for-role-in-infostealing-malware-scheme_5dc8c68dd114.pdf,2026-03-25,"U.S. Attorney's Office, Western District of Texas",2021-11 to 2024-10,"Hambardzum Minasyan (developer/administrator of RedLine infostealer infrastructure); Maxim Rudometov (alleged co-conspirator, developer/administrator)",Texas - Travis County (Austin),,,,,other,other; Money laundering of proceeds,charged,"Non-healthcare cybercrime case: defendant allegedly helped develop and administer the RedLine infostealer malware, registering virtual private servers, internet domains and file-sharing repositories to host and distribute the malware to paying affiliates, collecting affiliate payments via a cryptocurrency account registered in November 2021, and laundering cybercrime proceeds through cryptocurrency exchanges; the malware stole victims' data including access devices and financial information."
arthritis-amp-rheumatology-center-p-c-and-jatin-patel-settle-false-claims-act-case-for-2-18-million_154d381e2382.pdf,2026-01-29,"U.S. Attorney's Office, Northern District of Georgia",,"Arthritis & Rheumatology Center, P.C. (medical practice); Jatin Patel, M.D. (owner)",Georgia,Medicare,,2180000.0,,FakeEncounter,FakeEncounter,civil settlement,"ARC allegedly used unlicensed medical assistants to administer chemotherapy infusions to patients in violation of Georgia law, then billed Medicare for those infusion services, which Medicare does not pay for when rendered in violation of state law; resolved via a $2.18 million FCA settlement from a qui tam suit, with the relator receiving $414,200."
behavioral-health-companies-and-physician-owner-agree-to-pay-1-4-million-for-allegedly-billing-for-psychothera_c5c449456580.pdf,2026-05-18,"U.S. Attorney's Office, District of Massachusetts",2017-01 to 2023-05,"Nova Psychiatric Services, P.C. (behavioral health clinic); Patriot Eldercare, Inc. (behavioral health clinic); Alexandra Accardi, M.D. (psychiatrist, founder/owner, president and director); Miguel Saravia (Chief Operating Officer of Nova)",Massachusetts - Quincy and Weymouth (Norfolk County),Medicare; Massachusetts Medicaid; Massachusetts Group Insurance Commission (GIC),,1961141.0,4,Phantom Claims,Phantom Claims,civil settlement,"Nova and Patriot billed Medicare, Medicaid and the Massachusetts GIC for psychotherapy and medication management services that their behavioral health clinicians never performed; the COO directed untrained independent contractors outside the billing department to alter claims before submission by adding extra psychotherapy and medication management billing codes, despite employee complaints. The companies and owner Accardi paid $1.4 million to resolve False Claims Act allegations (qui tam, relator gets 17.5%), while COO Saravia pleaded guilty to six healthcare fraud counts and was sentenced to 3.5 months in prison with $561,141 restitution."
behavioral-therapist-pleads-guilty-to-health-care-fraud-for-submitting-inflated-insurance-reimbursement-claims_73f7c0afb164.pdf,2026-04-14,"U.S. Attorney's Office, Southern District of Georgia",2020-06 to 2023-05,"Mira Stallings (licensed behavioral therapist, owner of ABAscape LLC); ABAscape LLC",Georgia - McDuffie County (Thomson),TRICARE,652000.0,,,Phantom Claims,Phantom Claims; Upcoding; other,pleaded guilty,"Owner of a behavioral therapy agency billed TRICARE more than $652,000 for individual and group therapy services for developmentally disabled patients that were never provided or not provided as billed, receiving over $572,000; she also obtained nearly $1 million in CARES Act EIDL funds certified for working capital and spent them on personal debts, family salary payments and a dog-breeding compound."
biotech-ceo-sentenced-in-securities-fraud-scheme_d1800350908e.pdf,2026-01-26,"U.S. Department of Justice, Criminal Division (Fraud Section) and U.S. Attorney's Office for the District of Maryland",2018 to 2021,Nader Pourhassan (Chief Executive Officer of CytoDyn); CytoDyn (publicly traded biotech company),Washington - Vancouver (CytoDyn headquarters); Oregon - Lake Oswego (defendant's residence),,4400000.0,9700000.0,30,other,Securities fraud / insider trading,sentenced,"The CEO of CytoDyn made false public announcements to investors about the prospects of FDA approval for an investigational HIV/COVID-19 drug, artificially inflating the company's stock price, then sold his 4.8 million personal shares at the inflated prices for $4.4 million. Convicted at trial in December 2024 of securities fraud, wire fraud and insider trading; sentenced to 30 months and ordered to pay over $5.3 million restitution plus over $4.4 million forfeiture."
blood-test-lab-owner-sentenced-to-more-than-4-years-in-federal-prison-for-using-shill-to-collect-medicare-paym_57a211a4d299.pdf,2026-05-28,"U.S. Attorney's Office, Central District of California",2015 to 2023,Armen Muradyan (owner/operator of Genex Laboratories Inc.); Genex Laboratories Inc. (Burbank blood-testing laboratory),California - Los Angeles County (Burbank),Medicare; U.S. Small Business Administration (COVID-19 EIDL program),11236356.0,15158033.0,51,Ineligible provider enrollment,Ineligible provider enrollment; Falsify certificate; other,sentenced,"Muradyan, barred by Medicare from submitting claims, paid a long-time friend ('L.S.') $2,000 per month to pose as owner of his Burbank blood-testing lab Genex Laboratories, submit the Medicare enrollment paperwork, and hold bank accounts that Muradyan controlled, so that millions in Medicare blood-test reimbursements were wired to nominee accounts and spent on his mortgage, gambling and personal expenses; he further had the nominee report Genex's income on the nominee's personal returns, evading about $11.2 million in taxes on $23.9 million of unreported income, and obtained a $99,900 SBA EIDL loan by falsely claiming an entity called GenMed had employees and $800,000 in 2019 income."
bloomfield-man-sentenced-to-federal-prison-for-health-care-fraud_7dffcd6c262e.pdf,2026-02-10,"U.S. Attorney's Office, District of Connecticut",2019-11 to 2023-04,"Shawn Tyson (Licensed Alcohol and Drug Abuse Counselor); Thelma ""Wendy"" Epps (suspended Medicaid provider); Dennis Tomczak (licensed counselor)",Connecticut - Hartford (Hartford County); Bloomfield,Connecticut Medicaid,,670960.0,12,Phantom Claims,Phantom Claims; Falsify certificate; Ineligible provider enrollment,sentenced,"Tyson, a licensed drug and alcohol counselor, billed Connecticut Medicaid for psychotherapy counseling sessions that were never provided, and also billed under his own provider number for services purportedly rendered by Epps, who had been suspended from Medicaid, falsely representing that he personally performed them; he submitted fraudulent patient records during a Medicaid audit to conceal the scheme. Restitution of $670,960.72 is owed in part jointly and severally with Epps and counselor Dennis Tomczak."
brentwood-woman-pleads-guilty-to-defrauding-taxpayers-out-of-6-9-million_8aead34eacce.pdf,2026-05-07,"U.S. Attorney's Office, Middle District of Tennessee",2020-03 to 2024-10,"Helen Boerman (optometric physician, owner of Brentwood Eye Care); Brentwood Eye Care",Tennessee - Williamson County (Brentwood),"Medicare; Medicaid (TennCare, Tennessee); Federal Employees Health Benefits Program",11000000.0,,,Phantom Claims,Phantom Claims; Falsify certificate,pleaded guilty,"Optometric physician billed Medicare through her practice for new single-use wound care products she had not purchased or used, splitting single-use products across patients, and billed for wound care product placements on dates when patients had no appointments; she directed staff to create false records to support the fabricated service dates. She admitted submitting roughly $11 million in false Medicare claims and receiving about $6.9 million, and also submitted false claims to TennCare and FEHB."
